Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc1,30,IW,1.0604140862690827,0.82686422021037,1.2939639523277955,1.0
50,sc1,30,Commensurate,1.0082779891622542,0.8212994854231942,1.194680842925041,1.0
50,sc1,30,NPE,1.2396056652069092,0.6380324458822854,1.8558890677087276,1.0
50,sc1,31,PSPower,1.1460479277795954,0.9919369087659357,1.300158946793255,1.0
50,sc1,31,IW,1.2144154803180562,1.0165607430084846,1.4122702176276278,1.0
50,sc1,31,Commensurate,1.1800993020453623,1.0152148529562675,1.3476235987290242,1.0
50,sc1,31,NPE,1.3360422849655151,0.7400911196262677,1.9461749692291552,1.0
50,sc1,32,PSPower,0.8503040809901836,0.6392315974670099,1.0613765645133573,1.0
50,sc1,32,IW,0.9121967168500761,0.6359699687852636,1.1884234649148886,1.0
50,sc1,32,Commensurate,0.8315015907079862,0.6389409852629423,1.030108538191391,1.0
50,sc1,32,NPE,1.0884064435958862,0.3505564139952083,1.8206177414754103,1.0
50,sc1,33,PSPower,0.9490746183798066,0.7443115810482,1.153837655711413,1.0
50,sc1,33,IW,1.0177530643998676,0.750333380062004,1.2851727487377311,1.0
50,sc1,33,Commensurate,0.9489252597260683,0.754377261270199,1.1390768153718067,1.0
50,sc1,33,NPE,1.1670012474060059,0.5413522387234827,1.798592209484482,1.0
50,sc1,34,PSPower,0.849217422012069,0.643765209227076,1.0546696347970619,1.0
50,sc1,34,IW,0.9304522346323983,0.6542685883916044,1.2066358808731923,1.0
50,sc1,34,Commensurate,0.8611221283981405,0.6438000533426574,1.0794771050353793,1.0
50,sc1,34,NPE,1.3357887268066406,0.6090719551288465,2.0642924361215815,1.0
50,sc1,35,PSPower,1.1005026809200844,0.9062666320454977,1.294738729794671,1.0
50,sc1,35,IW,1.222428303324007,0.9525059761765737,1.4923506304714405,1.0
50,sc1,35,Commensurate,1.1141099560615055,0.9065019499754374,1.3189881406602006,1.0
50,sc1,35,NPE,1.3905677795410156,0.7886823761359454,1.9859003168541707,1.0
50,sc1,36,PSPower,1.0252720102462032,0.7882817800947571,1.2622622403976493,1.0
50,sc1,36,IW,1.111951031026404,0.8064024367105754,1.4174996253422325,1.0
50,sc1,36,Commensurate,1.0117870195411212,0.7900800742343992,1.227948510050038,1.0
50,sc1,36,NPE,1.2536052465438843,0.6518750702604458,1.8557728607158477,1.0
50,sc1,37,PSPower,1.0057165745354772,0.8223049436850246,1.1891282053859298,1.0
50,sc1,37,IW,1.032768197075809,0.7753031964830092,1.2902331976686088,1.0
50,sc1,37,Commensurate,0.9959931718571363,0.8083711786213271,1.1812795412703834,1.0
50,sc1,37,NPE,1.1342980861663818,0.5355906330037575,1.7374324402000494,1.0
50,sc1,38,PSPower,1.103564666408078,0.9018322680000523,1.3052970648161037,1.0
50,sc1,38,IW,1.0664010659207346,0.802377474968778,1.3304246568726912,1.0
50,sc1,38,Commensurate,1.1149032257475637,0.9109192396011757,1.308506267927522,1.0
50,sc1,38,NPE,1.3738335371017456,0.7903831321961778,1.944192242724667,1.0
50,sc1,39,PSPower,1.1430404332007371,0.9355700988135501,1.3505107675879242,1.0
50,sc1,39,IW,1.0958643952879243,0.8133721915573136,1.3783565990185351,1.0
50,sc1,39,Commensurate,1.141937457092403,0.9384440490222605,1.3357264937629927,1.0
50,sc1,39,NPE,1.2899088859558105,0.6544974367748082,1.9246081248329674,1.0
50,sc1,40,PSPower,0.8919658248854155,0.7085365852708726,1.0753950644999584,1.0
50,sc1,40,IW,0.8946665171073456,0.6514737169609978,1.1378593172536933,1.0
50,sc1,40,Commensurate,0.8930616932016069,0.7055965203534743,1.0795898271128186,1.0
50,sc1,40,NPE,0.9800447225570679,0.49276162071903223,1.4652695914975162,1.0
50,sc1,41,PSPower,1.3898286934283597,1.1668612610655205,1.612796125791199,1.0
50,sc1,41,IW,1.3650297658335906,1.0432837358724671,1.686775795794714,1.0
50,sc1,41,Commensurate,1.379235082420535,1.1448364658235644,1.6115618728290613,1.0
50,sc1,41,NPE,1.4788310527801514,0.8613323362852516,2.0732465913062836,1.0
50,sc1,42,PSPower,0.9167139547439014,0.6965347083891668,1.1368932010986361,1.0
50,sc1,42,IW,0.9555941894868599,0.6698067875996725,1.2413815913740474,1.0
50,sc1,42,Commensurate,0.9091860591935934,0.7094693683041018,1.1061327162958772,1.0
50,sc1,42,NPE,1.1739305257797241,0.5150137283834336,1.844829743202228,1.0
50,sc1,43,PSPower,0.9761390604481244,0.763359641244967,1.1889184796512817,1.0
50,sc1,43,IW,1.0365810556646233,0.7422934517895702,1.3308686595396764,1.0
50,sc1,43,Commensurate,0.9655997851449704,0.7430055454975844,1.1758868623926688,1.0
50,sc1,43,NPE,1.1279692649841309,0.489885297703422,1.7707797997750645,1.0
50,sc1,44,PSPower,0.8107618989440283,0.6346809374415805,0.9868428604464761,1.0
50,sc1,44,IW,0.7938598071431708,0.5497407331809276,1.037978881105414,1.0
50,sc1,44,Commensurate,0.8318870044550899,0.6349800916974908,1.040829886304291,1.0
50,sc1,44,NPE,0.9215860366821289,0.3307370936764232,1.5496021746408168,1.0
50,sc1,45,PSPower,1.1937552452481603,0.9956103445059937,1.3919001459903269,1.0
50,sc1,45,IW,1.2680624462421413,0.9938621270908513,1.5422627653934313,1.0
50,sc1,45,Commensurate,1.1974977933246342,0.9959146128287916,1.4135880268288217,1.0
50,sc1,45,NPE,1.2433810234069824,0.6316319013334716,1.8737721892377954,1.0
50,sc1,46,PSPower,1.0033704974040714,0.7834649532211718,1.223276041586971,1.0
50,sc1,46,IW,1.0352241633166082,0.7486517941479272,1.3217965324852892,1.0
50,sc1,46,Commensurate,0.986345103099754,0.7998169843627739,1.171717028279899,1.0
50,sc1,46,NPE,1.1018426418304443,0.3497487873374725,1.806699848184412,1.0
50,sc1,47,PSPower,0.8091980344576054,0.6404892775565378,0.977906791358673,1.0
50,sc1,47,IW,0.8745317374722279,0.6465092438544531,1.1025542310900027,1.0
50,sc1,47,Commensurate,0.8068537434987872,0.6236913877912749,0.9963743229044068,1.0
50,sc1,47,NPE,0.7698708176612854,0.23672352239528333,1.3115659034605107,1.0
50,sc1,48,PSPower,0.9493363668611794,0.766662455286156,1.132010278436203,1.0
50,sc1,48,IW,1.1096036351994105,0.8627242729441484,1.3564829974546726,1.0
50,sc1,48,Commensurate,0.9915518455492873,0.7906805695556692,1.195540596506172,1.0
50,sc1,48,NPE,1.292386531829834,0.6464598475261502,1.9271991437162939,1.0
50,sc1,49,PSPower,0.7730197226459922,0.5845210275354666,0.9615184177565177,1.0
50,sc1,49,IW,0.9506984476675401,0.7038541700168404,1.1975427253182398,1.0
50,sc1,49,Commensurate,0.82343467038738,0.6123210869609779,1.0365288103224561,1.0
50,sc1,49,NPE,1.5405614376068115,0.9019041134928816,2.1856130723983327,1.0
50,sc2,0,PSPower,1.2911453178808705,0.93934305565517,1.6429475801065712,1.0
50,sc2,0,IW,1.2272909643955945,0.8545620957505451,1.6000198330406439,1.0
50,sc2,0,Commensurate,1.181173811790909,0.8865102947464545,1.4769760800564955,1.0
50,sc2,0,NPE,1.3323150873184204,0.6773884420018469,1.941415585946364,1.0
50,sc2,1,PSPower,0.8140850014621543,0.454877871255986,1.1732921316683227,1.0
50,sc2,1,IW,0.7186477576535374,0.2995841283608842,1.1377113869461906,1.0
50,sc2,1,Commensurate,0.8073964524457742,0.49863630495081235,1.1312537161802825,1.0
50,sc2,1,NPE,0.7605630159378052,0.21208240328619915,1.300849998363565,1.0
