Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc4,11,PSPower,-0.12723214859388926,-0.45662402137246166,0.20215972418468314,0.0
50,sc4,11,IW,-0.1685877351760776,-0.5425830643942976,0.20540759404214237,0.0
50,sc4,11,Commensurate,-0.10705525579501057,-0.41262337436618035,0.2044895478848131,0.0
50,sc4,11,NPE,0.3351404070854187,-0.24800852187734002,0.912045264701703,0.0
50,sc4,12,PSPower,0.19200650304851985,-0.05063479721256403,0.43464780330960373,0.0
50,sc4,12,IW,0.07207229389488783,-0.2097196537931929,0.3538642415829686,0.0
50,sc4,12,Commensurate,0.13722967608147593,-0.12363799113496261,0.40183775159324847,0.0
50,sc4,12,NPE,0.49573206901550293,-0.10452677494776506,1.1330078938294554,0.0
50,sc4,13,PSPower,-0.37134553817647903,-0.6616288899779874,-0.08106218637497065,0.0
50,sc4,13,IW,-0.36134666429894974,-0.6914004302103947,-0.031292898387504875,0.0
50,sc4,13,Commensurate,-0.4425598354547383,-0.7256047231245724,-0.16990590336191472,0.0
50,sc4,13,NPE,-0.13632510602474213,-0.6692732938768661,0.4066338905694804,0.0
50,sc4,14,PSPower,0.19188576257665738,-0.035759391320489914,0.4195309164738047,0.0
50,sc4,14,IW,0.21221465244578652,-0.0385239425275643,0.46295324741913735,0.0
50,sc4,14,Commensurate,0.17347064060229508,-0.07097047408184089,0.4024023522228547,0.0
50,sc4,14,NPE,0.732934296131134,0.1323430893691908,1.3243216894907877,0.0
50,sc4,15,PSPower,-0.15149842258760876,-0.4325201509741331,0.12952330579891558,0.0
50,sc4,15,IW,-0.1323635236707807,-0.44481089373075033,0.18008384638918895,0.0
50,sc4,15,Commensurate,-0.13468958152022192,-0.40033382866732276,0.12980495356557767,0.0
50,sc4,15,NPE,0.46775513887405396,-0.07847493903679743,1.0356468933611924,0.0
50,sc4,16,PSPower,0.15578890037775775,-0.16864360204218168,0.4802214027976972,0.0
50,sc4,16,IW,0.17260510230040363,-0.199767639500844,0.5449778441016513,0.0
50,sc4,16,Commensurate,0.19602942686168162,-0.1084091024728266,0.49153365960042533,0.0
50,sc4,16,NPE,0.4613874554634094,-0.07531500764711985,1.0037885300524994,0.0
50,sc4,17,PSPower,0.321869950038498,0.044802033353008086,0.598937866723988,0.0
50,sc4,17,IW,0.303302437533028,-0.00819865402461234,0.6148035290906684,0.0
50,sc4,17,Commensurate,0.33629902770035325,0.04605716368089192,0.6021338940132296,0.0
50,sc4,17,NPE,0.36320456862449646,-0.1419416866015738,0.8727842865408676,0.0
50,sc4,18,PSPower,-0.03169109739739095,-0.3053177676116221,0.2419355728168402,0.0
50,sc4,18,IW,-0.03679345153742226,-0.33972357122964136,0.26613666815479686,0.0
50,sc4,18,Commensurate,-0.038892825477517406,-0.31676270990806416,0.21869668897348116,0.0
50,sc4,18,NPE,0.4711496829986572,-0.11550706051509717,1.0606980906773171,0.0
50,sc4,19,PSPower,-0.19104697831724127,-0.5062234839344114,0.12412952729992888,0.0
50,sc4,19,IW,-0.29162086445452773,-0.6644108368445023,0.08116910793544685,0.0
50,sc4,19,Commensurate,-0.19085027582178463,-0.4866708592630401,0.07915991923773412,0.0
50,sc4,19,NPE,-0.09974004328250885,-0.7044746699979008,0.5187163973977104,0.0
50,sc4,20,PSPower,0.06760319238230919,-0.24916558463944202,0.3843719694040604,0.0
50,sc4,20,IW,0.1319301528805535,-0.2385427244272743,0.5024030301883813,0.0
50,sc4,20,Commensurate,0.09109383578590177,-0.19922878529205776,0.38479859280018874,0.0
50,sc4,20,NPE,0.4852939248085022,-0.13524388433396964,1.099803282994927,0.0
50,sc4,21,PSPower,0.2144125256656693,-0.16633633589043698,0.5951613872217756,0.0
50,sc4,21,IW,0.22766028376796135,-0.2061100212233173,0.66143058875924,0.0
50,sc4,21,Commensurate,0.15067949285809817,-0.1799384299733435,0.4959070995762274,0.0
50,sc4,21,NPE,0.3496881127357483,-0.333045569331627,1.0138010284461696,0.0
