delta_sd,seed,posterior_mean,posterior_std,ci_low,ci_high,interval_width,observed_concurrent_rate,observed_external_rate,theta_empirical_logit_concurrent,theta_empirical_logit_external,theta_empirical_logit_pooled,theta_offset_mle_concurrent,theta_offset_mle_pooled,delta_offset_mle_external,final_train_loss,final_val_loss
1.0,20260401,-1.60934317111969,0.8676803112030029,-3.329421584681161,0.11622983523517255,3.4456514199163335,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8575831842422486,0.8731856346130371
1.0,20261401,-1.6152431964874268,0.8721426725387573,-3.3168979059591854,0.12109628026177603,3.4379941862209615,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8607799506187439,0.8577120900154114
1.0,20262401,-1.5919076204299927,0.8527587652206421,-3.3078463593010348,0.058496687930335904,3.3663430472313705,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8422222018241883,0.8894231915473938
1.0,20263401,-1.4656240940093994,0.8250032663345337,-3.0792788830382865,0.1304289589290474,3.209707841967334,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8638102889060975,0.8647884726524353
1.0,20264401,-1.653974175453186,0.8640377521514893,-3.361470254870417,0.03269348650842987,3.394163741378847,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8686652398109436,0.8024421334266663
1.25,20260401,-1.6233634948730469,0.8675005435943604,-3.343085539413473,0.10185200408089227,3.444937543494365,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8563797473907471,0.8773266673088074
1.25,20261401,-1.6283655166625977,0.8672856688499451,-3.3205436307776237,0.09830420362456657,3.4188478344021904,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8574683904647827,0.8576006293296814
1.25,20262401,-1.6264700889587402,0.8562647104263306,-3.3494635629320872,0.030719522946192176,3.3801830858782793,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.84314861536026,0.8829814195632935
1.25,20263401,-1.4298194646835327,0.8217289447784424,-3.0370698855415124,0.15989907889094437,3.1969689644324566,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8636691117286682,0.8652409911155701
1.25,20264401,-1.6533536911010742,0.8556947112083435,-3.3443624009961215,0.017027717943714858,3.3613901189398363,0.1702127659574468,0.3768545994065282,-1.5841201044498106,-0.5029204442588773,-1.0053941598360088,-1.074894240096868,-0.7239508462050234,0.6021775749119384,0.8702075862884522,0.8029390573501587
